var1.pred,var1.var,observed,residual,zscore,fold,coords.x1,coords.x2,pollutant,date
42.95625770594936,146.16654535949823,20.958333333333332,-21.99792437261603,-1.8195236855462738,7,-763442.5088302434,1889980.0152993698,44201,2010-09-29
42.92478668492891,82.03119354882742,35.166666666666664,-7.758120018262247,-0.8565781235098708,8,-771363.9500667664,1871652.3524933874,44201,2010-09-29
45.48957170021964,127.77924867456616,33.708333333333336,-11.781238366886306,-1.0422232997547516,9,-755881.2539444161,1805331.5072019023,44201,2010-09-29
37.30937563150872,127.78040621469744,45.333333333333336,8.023957701824614,0.7098335110631768,10,-764171.0228483846,1794258.958181908,44201,2010-09-29
42.75417541736983,248.56932249404494,59.791666666666664,17.037491249296835,1.0806420964404462,11,-968389.7566848311,1880705.674906776,44201,2010-09-29
48.910955336676395,240.68193820974906,27.75,-21.160955336676395,-1.3639973307875464,12,-1001000.3033597687,1897776.7007326712,44201,2010-09-29
44.52914256310685,251.03230052607967,56.541666666666664,12.012524103559812,0.7581750159251284,13,-953861.3554058073,1953338.5024392426,44201,2010-09-29
42.40544751642401,242.13167829221635,58.458333333333336,16.052885816909324,1.0316379516020617,14,-983360.9438007931,1924633.8741089534,44201,2010-09-29
25.79052399127867,3.150440415710513,31.666666666666668,5.8761426753879995,3.3105998954663725,1,-761416.5749401435,1874465.8447751973,44201,2010-09-30
48.21198179775162,115.85848959569013,40.75,-7.461981797751619,-0.6932505999353589,2,-727824.887142112,1879308.9304132264,44201,2010-09-30
6.852320862154407,53.61237493256365,32.916666666666664,26.064345804512257,3.5597074366421393,3,-781017.184972822,1920175.685619658,44201,2010-09-30
70.2288535181766,95.52425744308495,44.333333333333336,-25.89552018484327,-2.649523673446628,4,-812674.1059037908,1921500.1894311646,44201,2010-09-30
64.74208474335109,908.6241974631607,39.06666666666667,-25.675418076684416,-0.851775952585592,5,-857581.1685485527,1809988.925016556,44201,2010-09-30
25.89737196783404,97.57165702978017,52.458333333333336,26.560961365499296,2.688945189802109,6,-814353.6357872725,1888106.3441430952,44201,2010-09-30
34.36849156503171,12.706255890342936,18.458333333333332,-15.910158231698379,-4.4633988810024805,7,-763442.5088302434,1889980.0152993698,44201,2010-09-30
37.52967549052865,6.100994479077117,31.916666666666668,-5.6130088238619855,-2.2724556123850883,8,-771363.9500667664,1871652.3524933874,44201,2010-09-30
46.096564872586775,44.815636090447065,25.041666666666668,-21.054898205920107,-3.1451282795333158,9,-755881.2539444161,1805331.5072019023,44201,2010-09-30
13.85570933646665,53.39833974913868,34.333333333333336,20.477623996866686,2.8023068425995565,10,-764171.0228483846,1794258.958181908,44201,2010-09-30
32.60878777894035,413.2861368776811,58.083333333333336,25.474545554392982,1.253086428569556,11,-968389.7566848311,1880705.674906776,44201,2010-09-30
56.884995899805574,197.00831510429953,27.708333333333332,-29.176662566472242,-2.0787072671016693,12,-1001000.3033597687,1897776.7007326712,44201,2010-09-30
72.77735143941757,385.96621947219387,57.041666666666664,-15.735684772750908,-0.8009603153641645,13,-953861.3554058073,1953338.5024392426,44201,2010-09-30
40.00662889899856,151.18305262670967,59.041666666666664,19.035037767668108,1.5481113252516259,14,-983360.9438007931,1924633.8741089534,44201,2010-09-30
36.847301576292764,61.766756897541924,44.375,7.5276984237072355,0.9578220097432963,1,-761416.5749401435,1874465.8447751973,44201,2010-10-01
50.25182820291325,306.5210446912571,51.083333333333336,0.8315051304200836,0.04749356658386535,2,-727824.887142112,1879308.9304132264,44201,2010-10-01
44.990555711070606,290.25828353332236,43.416666666666664,-1.5738890444039413,-0.09238081747399629,3,-781017.184972822,1920175.685619658,44201,2010-10-01
51.288963196829904,289.31086798882455,51.333333333333336,0.04437013650343147,0.0026086054103032145,4,-812674.1059037908,1921500.1894311646,44201,2010-10-01
48.35012053511557,306.58803305888085,61,12.649879464884428,0.7224516507456494,5,-814353.6357872725,1888106.3441430952,44201,2010-10-01
46.180030171757586,156.80305618920707,24.125,-22.055030171757586,-1.7612880750862312,6,-763442.5088302434,1889980.0152993698,44201,2010-10-01
47.0913468984316,84.72700040174841,42.333333333333336,-4.758013565098267,-0.5169097931744674,7,-771363.9500667664,1871652.3524933874,44201,2010-10-01
51.05214811883516,138.4794030848587,40.708333333333336,-10.343814785501827,-0.8789985205702476,8,-755881.2539444161,1805331.5072019023,44201,2010-10-01
43.02165051954908,138.49011522233593,51.25,8.228349480450923,0.6992030930155201,9,-764171.0228483846,1794258.958181908,44201,2010-10-01
46.35455360541995,316.161653875475,63.291666666666664,16.937113061246713,0.9525434373027578,10,-968389.7566848311,1880705.674906776,44201,2010-10-01
54.73419289657187,297.0404710377226,30.25,-24.48419289657187,-1.4206201812309993,11,-1001000.3033597687,1897776.7007326712,44201,2010-10-01
49.85348717290006,323.04060935275083,59.125,9.27151282709994,0.5158483468492907,12,-953861.3554058073,1953338.5024392426,44201,2010-10-01
45.95416825096032,300.0568707261273,61.458333333333336,15.504165082373014,0.8950485556382746,13,-983360.9438007931,1924633.8741089534,44201,2010-10-01
23.99449410256784,8.549763439060418e-4,31.541666666666668,7.547172564098826,258.1114264051021,1,-761416.5749401435,1874465.8447751973,44201,2010-10-02
51.588856685266364,0.2277763467365464,40.875,-10.713856685266364,-22.448716799060158,2,-727824.887142112,1879308.9304132264,44201,2010-10-02
-15.359830487160934,0.03444029099243709,31.333333333333332,46.69316382049426,251.60536397629784,3,-781017.184972822,1920175.685619658,44201,2010-10-02
-3.443832206285151,0.24333272226651273,46.291666666666664,49.735498872951815,100.82453346245012,4,-812674.1059037908,1921500.1894311646,44201,2010-10-02
32.758404227290725,0.0018789270140070042,20.5,-12.258404227290725,-282.79972519188766,5,-763442.5088302434,1889980.0152993698,44201,2010-10-02
47.07292970299204,0.004048600224215607,34.166666666666664,-12.906263036325377,-202.8374137943869,6,-771363.9500667664,1871652.3524933874,44201,2010-10-02
71.21316040623105,0.023440550531991188,30.583333333333332,-40.629827072897726,-265.37564955084446,7,-755881.2539444161,1805331.5072019023,44201,2010-10-02
-18.847776602399563,0.049025586497337736,37.833333333333336,56.6811099357329,255.99232639097394,8,-764171.0228483846,1794258.958181908,44201,2010-10-02
11.698429256682175,2.7308117040142434,61.125,49.426570743317825,29.909875275839113,9,-968389.7566848311,1880705.674906776,44201,2010-10-02
196.76740448637975,0.6974245204442155,31.166666666666668,-165.6007378197131,-198.2958664058337,10,-1001000.3033597687,1897776.7007326712,44201,2010-10-02
262.3774131532018,0.6482059220176201,56.541666666666664,-205.83574648653516,-255.66089301087212,11,-953861.3554058073,1953338.5024392426,44201,2010-10-02
-65.00406188421312,0.2559823451499852,59.291666666666664,124.29572855087977,245.66947488431612,12,-983360.9438007931,1924633.8741089534,44201,2010-10-02
31.957414593130544,51.383016035441045,40.583333333333336,8.625918740202792,1.2033599861442807,1,-761416.5749401435,1874465.8447751973,44201,2010-10-03
43.92323481319372,272.62693402950134,43.875,-0.048234813193722914,-0.0029213004200655647,2,-727824.887142112,1879308.9304132264,44201,2010-10-03
38.33683151317319,254.72305040874298,32.791666666666664,-5.545164846506523,-0.34744041724491903,3,-781017.184972822,1920175.685619658,44201,2010-10-03
40.34887439004702,270.53311031333936,47.875,7.526125609952977,0.4575739054758986,4,-812674.1059037908,1921500.1894311646,44201,2010-10-03
40.59120098246067,133.27587323541812,21.82608695652174,-18.76511402593893,-1.625456828787317,5,-763442.5088302434,1889980.0152993698,44201,2010-10-03
42.1642063047875,71.9620775674433,35.666666666666664,-6.497539638120834,-0.7659441279839361,6,-771363.9500667664,1871652.3524933874,44201,2010-10-03
35.46769348637426,118.29587025564983,24.041666666666668,-11.426026819707591,-1.0505348095270652,7,-755881.2539444161,1805331.5072019023,44201,2010-10-03
28.569124853777396,118.31192145519246,32.916666666666664,4.3475418128892684,0.3996957346873434,8,-764171.0228483846,1794258.958181908,44201,2010-10-03
38.69511867303619,282.73901485057877,59.125,20.42988132696381,1.2149907559355797,9,-968389.7566848311,1880705.674906776,44201,2010-10-03
48.182192554768605,262.52366090453285,28.958333333333332,-19.223859221435273,-1.1864688797900391,10,-1001000.3033597687,1897776.7007326712,44201,2010-10-03
41.857290253308214,290.3583283536624,56.041666666666664,14.18437641335845,0.8324211458445617,11,-953861.3554058073,1953338.5024392426,44201,2010-10-03
39.39267371465477,265.48643705355255,57.791666666666664,18.398992952011895,1.1292052366031768,12,-983360.9438007931,1924633.8741089534,44201,2010-10-03
3.541680502423018,0.06046248273373784,3.752058355735468,0.2103778533124503,0.8555729218817986,1,-761416.5749401435,1874465.8447751973,44201,2010-10-04
3.6474456075140136,0.17894478123013113,3.9036547557576293,0.25620914824361574,0.6056686770396865,2,-727824.887142112,1879308.9304132264,44201,2010-10-04
3.661271209017011,0.17628208808956214,3.5648268054439574,-0.09644440357305362,-0.22970631700599292,3,-781017.184972822,1920175.685619658,44201,2010-10-04
3.6444483972219572,0.17745846282603503,3.830615730792813,0.18616733357085558,0.44193166541014234,4,-812674.1059037908,1921500.1894311646,44201,2010-10-04
3.729742998777287,0.12404244649028837,3.1542213549798475,-0.5755216437974395,-1.6340919828862472,5,-763442.5088302434,1889980.0152993698,44201,2010-10-04
3.7596294751097905,0.07403890891696595,3.69199958145018,-0.06762989365961047,-0.248547099575775,6,-771363.9500667664,1871652.3524933874,44201,2010-10-04
3.719959224028111,0.10937287065767268,3.25306718961648,-0.46689203441163096,-1.4117625562648914,7,-755881.2539444161,1805331.5072019023,44201,2010-10-04
3.416388228075143,0.10937290956918776,3.735597078681396,0.3192088506062527,0.9652060637936702,8,-764171.0228483846,1794258.958181908,44201,2010-10-04
3.6340037495461526,0.17934954689368932,3.874667218884377,0.24066346933822436,0.5682769372791234,9,-968389.7566848311,1880705.674906776,44201,2010-10-04
3.7226230087875125,0.1767616972645396,3.277964741238207,-0.4446582675493054,-1.057626417382369,10,-1001000.3033597687,1897776.7007326712,44201,2010-10-04
3.644285191609455,0.18004769814863145,3.877259012991806,0.2329738213823509,0.5490518214039132,11,-953861.3554058073,1953338.5024392426,44201,2010-10-04
3.6248512798342856,0.17728439402851542,3.867722746531566,0.24287146669728044,0.5768212374500277,12,-983360.9438007931,1924633.8741089534,44201,2010-10-04
