Parameter.Code,monitor_id,POC,Date.Local,Units.of.Measure,d8hmax
44201,0310014,2,2010-05-23,Parts per million,0.051875
44201,0310014,2,2010-05-24,Parts per million,0.06962499999999999
44201,0310014,2,2010-05-25,Parts per million,0.055375
44201,0310014,2,2010-05-26,Parts per million,0.046375
44201,0310014,2,2010-05-27,Parts per million,0.056
44201,0310014,2,2010-05-28,Parts per million,0.053125
44201,0310014,2,2010-05-29,Parts per million,0.044
44201,0310014,2,2010-05-30,Parts per million,0.0515
44201,0310014,2,2010-05-31,Parts per million,0.05975
44201,0310014,2,2010-06-01,Parts per million,0.04675
44201,0310014,2,2010-06-02,Parts per million,0.04825
44201,0310014,2,2010-06-03,Parts per million,0.0325
44201,0310014,2,2010-06-04,Parts per million,0.039625
44201,0310014,2,2010-06-05,Parts per million,0.039875
44201,0310014,2,2010-06-06,Parts per million,0.051000000000000004
44201,0310014,2,2010-06-07,Parts per million,0.062375
44201,0310014,2,2010-06-08,Parts per million,0.04925
44201,0310014,2,2010-06-09,Parts per million,0.066625
44201,0310014,2,2010-06-10,Parts per million,0.056375
44201,0310014,2,2010-06-11,Parts per million,0.05075
44201,0310014,2,2010-06-12,Parts per million,0.034625
44201,0310014,2,2010-06-13,Parts per million,0.02675
44201,0310014,2,2010-06-14,Parts per million,0.042125
44201,0310014,2,2010-06-15,Parts per million,0.065375
44201,0310014,2,2010-06-16,Parts per million,0.060875
44201,0310014,2,2010-06-17,Parts per million,0.067875
44201,0310014,2,2010-06-18,Parts per million,0.05575
44201,0310014,2,2010-06-19,Parts per million,0.071625
44201,0310014,2,2010-06-20,Parts per million,0.0445
44201,0310014,2,2010-06-21,Parts per million,0.048125
44201,0310014,2,2010-06-22,Parts per million,0.05525
44201,0310014,2,2010-06-23,Parts per million,0.062875
44201,0310014,2,2010-06-24,Parts per million,0.071875
44201,0310014,2,2010-06-25,Parts per million,0.0505
44201,0310014,2,2010-06-26,Parts per million,0.053375
44201,0310014,2,2010-06-27,Parts per million,0.0665
44201,0310014,2,2010-06-28,Parts per million,0.069875
44201,0310014,2,2010-06-29,Parts per million,0.066375
44201,0310014,2,2010-06-30,Parts per million,0.064125
44201,0310014,2,2010-07-01,Parts per million,0.073125
44201,0310014,2,2010-07-02,Parts per million,0.060125
44201,0310014,2,2010-07-03,Parts per million,0.056375
44201,0310014,2,2010-07-04,Parts per million,0.053
44201,0310014,2,2010-07-05,Parts per million,0.060125
44201,0310014,2,2010-07-06,Parts per million,0.053125
44201,0310014,2,2010-07-07,Parts per million,0.02375
44201,0310014,2,2010-07-08,Parts per million,0.03925
44201,0310014,2,2010-07-09,Parts per million,0.065
44201,0310014,2,2010-07-10,Parts per million,0.056125
44201,0310014,2,2010-07-11,Parts per million,0.059125
44201,0310014,2,2010-07-12,Parts per million,0.054125
44201,0310014,2,2010-07-13,Parts per million,0.053125
44201,0310014,2,2010-07-14,Parts per million,0.05575
44201,0310014,2,2010-07-15,Parts per million,0.06962499999999999
44201,0310014,2,2010-07-16,Parts per million,0.064625
44201,0310014,2,2010-07-17,Parts per million,0.06987499999999999
44201,0310014,2,2010-07-18,Parts per million,0.06025
44201,0310014,2,2010-07-19,Parts per million,0.04675
44201,0310014,2,2010-07-20,Parts per million,0.046125
44201,0310014,2,2010-07-21,Parts per million,0.065
44201,0310014,2,2010-07-22,Parts per million,0.050625
44201,0310014,2,2010-07-23,Parts per million,0.0625
44201,0310014,2,2010-07-24,Parts per million,0.05475
44201,0310014,2,2010-07-25,Parts per million,0.052125
44201,0310014,2,2010-07-26,Parts per million,0.06675
44201,0310014,2,2010-07-27,Parts per million,0.056125
44201,0310014,2,2010-07-28,Parts per million,0.055
44201,0310014,2,2010-07-29,Parts per million,0.062375
44201,0310014,2,2010-07-30,Parts per million,0.057625
44201,0310014,2,2010-07-31,Parts per million,0.066125
44201,0310014,2,2010-08-01,Parts per million,0.055625
44201,0310014,2,2010-08-02,Parts per million,0.0525
44201,0310014,2,2010-08-03,Parts per million,0.06025
44201,0310014,2,2010-08-04,Parts per million,0.060125000000000005
44201,0310014,2,2010-08-05,Parts per million,0.066125
44201,0310014,2,2010-08-06,Parts per million,0.0625
44201,0310014,2,2010-08-07,Parts per million,0.0605
44201,0310014,2,2010-08-08,Parts per million,0.057375
44201,0310014,2,2010-08-09,Parts per million,0.048875
44201,0310014,2,2010-08-10,Parts per million,0.0545
44201,0310014,2,2010-08-11,Parts per million,0.058
44201,0310014,2,2010-08-12,Parts per million,0.036
